炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),钒铁(FeV50-B).1,硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,加入C含量,吸收C质量,C收得率,加入Mn含量,吸收Mn质量,Mn收得率
7A06868             ,低合金    ,HRB400B    ,1662.0,0.0005,0.0016,0.00023,0.0003,0.004,81350.0,0.0023,0.0136,0.00023,0.00034,0.0037,0.47,0.0026,0.007,0.015,,0.031,0.0052,0.0029,0.0026,0.0,,,,0,0,5,0,0,42,75,0,0,220,0,0,85,0,1490,132,0,150.26999999999998,146.43,0.9744459972050311,1135.44,976.1999999999999,0.8597548087085182
7A06867             ,低合金    ,HRB400B    ,1660.0,0.00042,0.0013,0.00024,0.00027,0.004,73850.0,0.0023,0.0135,0.00027,0.00031,0.0037,0.468,0.0023,0.007,0.019,,0.033,0.0054,0.0031,0.0026,0.0,,,,0,0,5,0,0,40,50,0,0,200,0,0,85,0,1590,132,0,151.63,138.838,0.915636747345512,1188.56,900.9699999999999,0.7580349330282021
7A06866             ,低合金    ,HRB400B    ,1670.0,0.00072,0.0015,0.00027,0.00033,0.004,74200.0,0.0023,0.0135,0.00028,0.00027,0.0037,0.467,0.0021,0.006,0.011,,0.033,0.0055,0.0033,0.0025,0.0,,,,0,0,4,0,0,40,25,0,0,220,0,0,68,0,1310,0,0,91.28999999999999,117.23599999999999,1.2842151385693943,1015.9200000000001,890.4,0.8764469643278997
7A06865             ,低合金    ,HRB400B    ,0.0,0.00065,0.0015,0.00024,0.00029,0.004,67400.0,0.0022,0.0129,0.00026,0.0003,0.0035,0.448,0.0022,0.005,0.012,,0.032,0.0052,0.0029,0.0029,0.0,,,,0,0,5,0,0,41,25,0,0,0,0,0,75,0,1530,132,0,137.61,104.47000000000001,0.759174478598939,1015.9200000000001,768.36,0.7563193952279706
7A06864             ,低合金    ,HRB400B    ,1655.0,0.00046,0.001,0.00032,0.00041,0.003,70000.0,0.0022,0.0131,0.0003,0.00031,0.0039,0.452,0.0024,0.007,0.016,,0.032,0.0047,0.0024,0.003,0.0,,,,0,0,4,0,0,39,75,0,0,0,0,0,85,0,1520,132,0,147.04,121.80000000000001,0.8283460282916214,1009.2800000000001,847.0,0.8392121116043119
7A06862             ,低合金    ,HRB400B    ,1651.0,0.00041,0.0011,0.00037,0.00028,0.003,70000.0,0.0023,0.0131,0.00037,0.00029,0.0036,0.462,0.0025,0.005,0.015,,0.032,0.004,0.0018,0.0027,0.0,,,,0,0,5,0,0,40,50,0,0,200,0,0,93,0,1400,132,0,156.08,132.3,0.8476422347514095,1062.4,840.0,0.7906626506024096
7A06861             ,低合金    ,HRB400B    ,1679.0,0.0004,0.0013,0.00021,0.00026,0.003,70100.0,0.0024,0.0136,0.00027,0.00029,0.0037,0.481,0.0027,0.006,0.017,,0.033,0.0039,0.0017,0.0031,0.0,,,,0,0,4,0,0,38,50,0,0,200,0,0,90,0,1300,132,0,151.5,140.19999999999996,0.9254125412541252,996.0,862.2299999999999,0.8656927710843373
7A06860             ,低合金    ,HRB400B    ,1618.0,0.00054,0.0012,0.00026,0.00033,0.003,67400.0,0.0023,0.0131,0.00028,0.00023,0.0036,0.462,0.0022,0.006,0.015,,0.035,0.0054,0.0031,0.0039,0.0,,,,0,0,7,0,0,44,50,0,0,200,0,0,102,0,1450,132,0,165.57000000000002,118.624,0.7164582955849489,1095.6000000000001,802.0600000000001,0.732073749543629
7A06859             ,低合金    ,HRB400B    ,1643.0,0.00067,0.0011,0.00031,0.00019,0.004,64700.0,0.0024,0.0129,0.00032,0.0002,0.0037,0.469,0.0025,0.005,0.017,,0.033,0.0044,0.0022,0.0033,0.0,,,,0,0,4,0,0,40,25,0,0,200,0,0,75,0,1270,132,0,136.59,111.93099999999998,0.8194670180833149,976.0800000000002,763.46,0.7821694943037455
7A06858             ,低合金    ,HRB400B    ,1662.0,0.00067,0.0012,0.00038,0.00021,0.004,69800.0,0.0023,0.0131,0.00033,0.00035,0.0036,0.462,0.0026,0.007,0.014,,0.034,0.0039,0.0017,0.0033,0.0,,,,0,0,7,0,0,44,25,0,0,200,0,0,75,0,1430,132,0,139.31,113.774,0.8166965759816237,1082.3200000000002,830.62,0.7674440091654963
7A06857             ,低合金    ,HRB400B    ,1661.0,0.00067,0.0014,0.00035,0.00035,0.003,63300.0,0.0023,0.013,0.00029,0.00023,0.0037,0.46,0.0024,0.006,0.018,,0.033,0.0043,0.0021,0.0034,0.0,,,,0,0,4,0,0,40,25,0,0,200,0,0,75,0,1280,132,0,136.76000000000002,103.179,0.7544530564492541,982.72,734.28,0.7471914685770107
7A06856             ,低合金    ,HRB400B    ,1646.0,0.00067,0.0011,0.00035,0.00028,0.004,70100.0,0.0022,0.0129,0.00037,0.00029,0.0037,0.449,0.0027,0.005,0.015,,0.033,0.0046,0.0023,0.0031,0.0,,,,0,0,4,0,0,40,0,0,0,200,0,0,70,0,1340,132,0,132.98000000000002,107.25300000000001,0.8065348172657543,1022.56,827.18,0.8089305273040213
7A06855             ,低合金    ,HRB400B    ,1645.0,0.00068,0.0014,0.00026,0.00032,0.003,67500.0,0.0022,0.0131,0.00039,0.00025,0.0038,0.452,0.0025,0.006,0.017,,0.032,0.1953,0.1559,0.0036,0.0,,,,0,0,4,0,0,40,25,0,0,200,0,0,68,0,1330,132,0,130.89000000000001,102.60000000000001,0.7838643135457254,1015.9200000000001,789.75,0.7773742026931254
7A06854             ,低合金    ,HRB400B    ,1642.0,0.00034,0.001,0.00034,0.00022,0.003,70000.0,0.0024,0.013,0.00037,0.00026,0.0037,0.47,0.0025,0.005,0.015,,0.032,0.004,0.0018,0.0032,0.0,,,,0,0,4,0,0,40,50,0,0,200,0,0,93,0,1300,132,0,154.38,144.2,0.9340588159087965,996.0,840.0,0.8433734939759037
7A06853             ,低合金    ,HRB400B    ,1648.0,0.00097,0.0015,0.00018,0.00029,0.003,68400.0,0.0024,0.0133,0.00035,0.00019,0.0039,0.476,0.0024,0.008,0.017,,0.034,0.0047,0.0025,0.0031,0.0,,,,0,0,4,0,0,38,25,0,0,200,0,0,51,0,1230,132,0,112.87,97.81199999999998,0.8665898821653227,949.52,807.12,0.8500294885837054
7A06852             ,低合金    ,HRB400B    ,1662.0,0.00067,0.0011,0.00041,0.00027,0.002,62900.0,0.0023,0.013,0.00038,0.00022,0.0037,0.46,0.0023,0.007,0.016,,0.032,0.0044,0.0022,0.0028,0.0,,,,0,0,4,0,0,40,50,0,0,200,0,0,68,0,1310,132,0,130.55,102.527,0.7853466104940635,1002.6400000000001,748.51,0.7465391366791669
7A06851             ,低合金    ,HRB400B    ,1689.0,0.00138,0.0011,0.00016,0.00021,0.002,63500.0,0.0024,0.0133,0.00031,0.00022,0.0037,0.474,0.0021,0.005,0.013,,0.032,0.0045,0.0023,0.0034,0.0,,,,0,0,4,0,0,40,0,0,0,200,0,0,34,0,1300,132,20,102.25384616000001,64.77,0.6334236063712676,996.0,774.6999999999999,0.7778112449799196
7A06850             ,低合金    ,HRB400B    ,1660.0,0.00065,0.0008,0.00029,0.00015,0.002,66400.0,0.0024,0.013,0.00032,0.0002,0.0036,0.47,0.0024,0.008,0.01,,0.033,0.0044,0.0022,0.0027,0.0,,,,0,0,4,0,0,38,25,0,0,200,0,0,75,0,1250,132,0,136.25,116.19999999999999,0.8528440366972476,962.8,810.0799999999999,0.8413793103448276
7A06849             ,低合金    ,HRB400B    ,1652.0,0.00071,0.0009,0.0003,0.00024,0.003,71500.0,0.0024,0.0134,0.00032,0.00025,0.0036,0.476,0.0023,0.008,0.01,,0.031,0.0038,0.0016,0.0023,0.0,,,,0,0,10,0,0,32,25,0,0,200,0,0,68,0,1350,132,0,131.23000000000002,120.83499999999998,0.9207879295892705,1029.2,893.75,0.8683929265448892
7A06848             ,低合金    ,HRB400B    ,1707.0,0.00085,0.0013,0.00028,0.00022,0.003,72800.0,0.0023,0.0135,0.00032,0.00034,0.004,0.468,0.0022,0.006,0.013,,0.034,0.0055,0.0032,0.0021,0.0,,,,0,0,11,0,0,33,0,0,0,0,0,0,51,1553,0,132,20,119.47484616000001,105.55999999999999,0.8835332573572403,1031.192,888.16,0.8612945018968339
7A06847             ,低合金    ,HRB400B    ,1668.0,0.00066,0.0009,0.00036,0.00024,0.002,70000.0,0.0023,0.0132,0.00032,0.00029,0.0035,0.462,0.0018,0.006,0.012,,0.034,0.0056,0.0033,0.0024,0.0,,,,0,0,10,0,0,32,25,0,0,0,0,0,68,1545,0,132,0,131.145,114.8,0.8753669602348545,1025.88,861.0,0.8392794478886418
7A06846             ,低合金    ,HRB400B    ,1677.0,0.00034,0.0007,0.00043,0.00028,0.002,70600.0,0.0024,0.0135,0.0003,0.00025,0.0036,0.478,0.002,0.006,0.013,,0.034,0.004,0.0018,0.0023,0.0,,,,0,0,10,0,0,32,50,0,0,0,0,0,85,1508,0,132,0,146.83599999999998,145.43599999999998,0.9904655534065215,1001.312,903.6800000000001,0.9024959253459461
7A06845             ,低合金    ,HRB400B    ,1689.0,0.0007,0.0011,0.00039,0.00032,0.002,74400.0,0.0023,0.013,0.00032,0.00029,0.0036,0.459,0.0022,0.005,0.012,,0.033,0.0055,0.0032,0.0027,0.0,,,,0,0,10,0,0,32,25,0,0,0,0,0,68,1496,0,132,0,130.312,119.03999999999999,0.9134999079133156,993.344,885.3599999999999,0.8912924424972616
7A06843            ,低合金    ,HRB400B    ,1667.0,0.00072,0.0011,0.00027,0.00017,0.0,70000.0,0.0024,0.013,0.00031,0.00024,0.0036,0.468,0.0017,0.006,0.017,,0.032,0.0049,0.0027,0.0029,0.0,,,,0,0,8,0,0,25,50,0,0,0,0,0,68,0,0,132,0,104.88,117.59999999999998,1.1212814645308924,0.0,832.9999999999999,inf
7A06836             ,低合金    ,HRB400B    ,1651.0,0.0003,0.0005,0.00043,0.00016,0.003,71750.0,0.0023,0.0135,0.00035,0.00029,0.0038,0.469,0.0017,0.01,0.025,,0.038,0.0053,0.003,0.0035,0.0,,,,0,0,4,0,0,40,75,0,0,0,0,0,85,0,1450,132,0,145.85,143.5,0.9838875557079191,962.8000000000001,932.75,0.9687889488990444
7A06835             ,低合金    ,HRB400B    ,1648.0,0.00066,0.0011,0.00029,0.00021,0.004,74750.0,0.0024,0.0128,0.0003,0.00022,0.0036,0.465,0.002,0.004,0.01,,0.033,0.004,0.0017,0.0022,0.0,,,,0,0,4,0,0,40,25,0,0,0,0,0,68,0,1450,132,0,129.53,130.065,1.0041303173010114,962.8000000000001,874.575,0.9083662235147486
7A06834             ,低合金    ,HRB400B    ,1677.0,0.00073,0.0013,0.00028,0.00032,0.003,71700.0,0.0024,0.0135,0.00028,0.00024,0.0037,0.477,0.0017,0.005,0.018,,0.032,0.0045,0.0023,0.0023,0.0,,,,0,0,4,0,0,40,25,0,0,0,0,0,68,0,1480,132,0,130.04,119.73899999999999,0.9207859120270686,982.72,874.7399999999999,0.8901212959947898
7A06833             ,低合金    ,HRB400B    ,1656.0,0.00054,0.0014,0.00036,0.00033,0.002,76100.0,0.0023,0.0134,0.00038,0.00032,0.0036,0.465,0.002,0.005,0.011,,0.033,0.0051,0.0028,0.0021,0.0,,,,0,0,32,0,0,0,50,0,0,0,0,0,80,0,1530,132,0,142.41,133.93599999999998,0.9404957517028297,1015.9200000000001,913.2,0.8988896763524686
7A06832             ,低合金    ,HRB400B    ,1672.0,0.00049,0.0014,0.00037,0.00027,0.003,72250.0,0.0023,0.0128,0.00026,0.00018,0.0035,0.454,0.0012,0.006,0.011,,0.033,0.0053,0.003,0.0024,0.0,,,,0,0,31,0,0,0,50,0,0,0,0,0,85,0,1540,132,0,147.38,130.7725,0.8873151038132719,1022.5600000000001,823.65,0.8054784071350336
7A06831             ,低合金    ,HRB400B    ,0.0,0.00019,0.0005,0.00027,0.00015,0.003,73000.0,0.0024,0.0129,0.00027,0.00019,0.0036,0.465,0.0012,0.006,0.012,,0.032,0.0047,0.0024,0.0028,0.0,,,,0,0,31,0,0,0,75,0,0,0,0,0,85,0,1560,132,0,147.72,161.32999999999998,1.0921337665854318,1035.8400000000001,905.1999999999999,0.8738801359283285
7A06830             ,低合金    ,HRB400B    ,0.0,0.00041,0.0009,0.00031,0.00019,0.003,73000.0,0.0023,0.0135,0.00031,0.00022,0.0037,0.467,0.0017,0.006,0.011,,0.033,0.0065,0.0041,0.0026,0.0,,,,0,0,5,0,0,40,50,0,0,0,0,0,85,0,1520,132,0,147.04,137.97,0.9383161044613711,1009.2800000000001,919.8,0.9113427393785668
7A06829             ,低合金    ,HRB400B    ,1678.0,0.00033,0.0009,0.00026,0.00016,0.003,72600.0,0.0022,0.0132,0.00028,0.0002,0.0036,0.451,0.0017,0.006,0.011,,0.033,0.0056,0.0033,0.0027,0.0,,,,0,0,5,0,0,38,50,0,0,0,0,0,85,0,1460,132,0,146.01999999999998,135.762,0.9297493494041913,969.44,892.98,0.9211297243769598
7A06828             ,低合金    ,HRB400B    ,1640.0,0.00101,0.001,0.00035,0.00012,0.002,70500.0,0.0023,0.0134,0.00027,0.00016,0.0038,0.465,0.0016,0.005,0.01,,0.034,0.0052,0.003,0.0034,0.0,,,,0,0,5,0,0,38,0,0,0,0,0,0,51,0,1450,132,20,117.72384616000001,90.945,0.7725282766959165,962.8000000000001,874.2,0.907976734524304
7A06827             ,低合金    ,HRB400B    ,1651.0,0.00072,0.0006,0.00036,0.0001,0.002,70450.0,0.0024,0.0129,0.00032,0.00017,0.0035,0.466,0.0014,0.006,0.011,,0.034,0.0053,0.0031,0.0026,0.0,,,,0,0,5,0,0,38,25,0,0,0,0,0,68,0,1440,132,0,129.36,118.35599999999998,0.9149350649350647,956.1600000000001,866.535,0.9062656877510039
7A06826             ,低合金    ,HRB400B    ,1656.0,0.00076,0.0007,0.00044,0.00012,0.002,71150.0,0.0023,0.0127,0.00033,0.00014,0.0035,0.453,0.0016,0.006,0.01,,0.034,0.0046,0.0024,0.0023,0.0,,,,0,0,5,0,0,28,25,0,0,0,0,0,68,0,1460,132,0,129.7,109.571,0.8448033924441019,969.44,853.8000000000001,0.8807146393794356
7A06825             ,低合金    ,HRB400B    ,1661.0,0.00069,0.0007,0.00033,0.00016,0.002,69950.0,0.0023,0.0133,0.00033,0.0002,0.0037,0.463,0.0015,0.005,0.01,,0.033,0.0055,0.0032,0.0035,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,68,0,1500,132,0,130.38,112.61949999999999,0.8637789538272741,996.0,881.37,0.8849096385542169
7A06824             ,低合金    ,HRB400B    ,1667.0,0.00073,0.001,0.00025,0.00019,0.003,70300.0,0.0023,0.0133,0.00035,0.00023,0.0035,0.463,0.0016,0.004,0.011,,0.031,0.005,0.0027,0.0022,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,51,0,1400,132,0,112.36000000000001,110.371,0.9822979708081166,929.6,864.6899999999999,0.9301742685025817
7A06823             ,低合金    ,HRB400B    ,1693.0,0.00072,0.001,0.00026,0.0002,0.003,69250.0,0.0024,0.0135,0.00027,0.00021,0.0039,0.478,0.002,0.004,0.01,,0.034,0.0059,0.0036,0.0052,0.0,,,,0,0,32,0,0,0,25,0,0,0,0,0,68,0,1420,132,0,129.02,116.33999999999997,0.9017206634630287,942.88,865.625,0.9180648650941795
7A06822             ,低合金    ,HRB400B    ,1656.0,0.00108,0.0013,0.00023,0.00033,0.003,75200.0,0.0024,0.0133,0.00028,0.00029,0.0037,0.473,0.0021,0.005,0.01,,0.03,0.0047,0.0024,0.0022,0.0,,,,0,0,10,0,0,30,0,0,0,0,0,0,51,0,1430,132,20,117.38384616,99.26399999999998,0.8456359477665967,949.5200000000001,902.4,0.9503749262785406
7A06821             ,低合金    ,HRB400B    ,1672.0,0.00077,0.0007,0.00024,0.00016,0.003,72300.0,0.0024,0.0134,0.00028,0.00024,0.0035,0.476,0.0023,0.005,0.011,,0.033,0.0057,0.0034,0.0027,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,51,0,1460,132,0,113.38,117.84899999999999,1.0394161227729757,969.44,918.21,0.9471550585905265
7A06820             ,低合金    ,HRB400B    ,1647.0,0.0008,0.0006,0.00032,0.00013,0.003,70400.0,0.0023,0.0133,0.00034,0.00018,0.0038,0.466,0.0026,0.006,0.015,,0.035,0.0047,0.0025,0.004,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,51,0,1460,132,0,113.38,105.60000000000001,0.9313811959781267,969.44,894.0799999999999,0.9222644000660174
7A06819             ,低合金    ,HRB400B    ,1677.0,0.00077,0.0008,0.00025,0.00023,0.003,70450.0,0.0023,0.0131,0.00025,0.00024,0.0035,0.461,0.002,0.005,0.012,,0.033,0.0045,0.0023,0.0026,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,54,0,1260,132,0,116.25999999999999,107.78850000000001,0.9271331498365734,969.44,866.535,0.8938510892886614
7A06818             ,低合金    ,HRB400B    ,1683.0,0.00086,0.0009,0.00023,0.00021,0.003,75200.0,0.0024,0.0131,0.00024,0.00024,0.0036,0.471,0.0022,0.005,0.011,,0.033,0.0052,0.0029,0.0026,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,51,0,1300,132,0,114.06,115.80799999999998,1.015325267403121,996.0,917.44,0.9211244979919679
7A06817             ,低合金    ,HRB400B    ,1618.0,0.00093,0.0006,0.00037,0.00016,0.003,71700.0,0.0024,0.0129,0.00033,0.00019,0.0035,0.466,0.0018,0.005,0.012,,0.034,0.0046,0.0024,0.0026,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,68,0,1280,132,0,130.04000000000002,105.39899999999999,0.810512150107659,982.72,881.91,0.8974173721914686
7A06816             ,低合金    ,HRB400B    ,1805.0,0.00077,0.0011,0.00027,0.00027,0.003,74050.0,0.0023,0.0131,0.00029,0.00029,0.0035,0.461,0.0023,0.005,0.011,,0.031,0.0046,0.0024,0.0025,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,51,0,1280,132,0,113.72,113.29650000000001,0.9962759409074922,982.72,888.6,0.9042250081406707
7A06815             ,低合金    ,HRB400B    ,1672.0,0.00076,0.0008,0.00029,0.00018,0.003,72000.0,0.0024,0.0131,0.00031,0.00021,0.0036,0.47,0.0018,0.005,0.011,,0.031,0.004,0.0018,0.0025,0.0,,,,0,0,9,0,0,29,25,0,0,200,0,0,54,0,1270,132,0,116.43,118.07999999999998,1.014171605256377,976.0800000000002,885.6,0.9073026801081877
7A06814             ,低合金    ,HRB400B    ,1647.0,0.00042,0.0009,0.00025,0.00019,0.003,72900.0,0.0023,0.0133,0.00034,0.00024,0.0036,0.465,0.0023,0.006,0.012,,0.033,0.0051,0.0028,0.0027,0.0,,,,0,0,10,0,0,30,50,0,0,200,0,0,95,0,1330,88,0,143.61,137.052,0.9543346563609775,1015.9200000000001,903.9599999999999,0.8897944720056696
7A06813             ,低合金    ,HRB400B    ,1659.0,0.0008,0.0012,0.00024,0.00026,0.003,73150.0,0.0024,0.0135,0.00028,0.00029,0.0036,0.478,0.0023,0.006,0.011,,0.033,0.0046,0.0023,0.0026,0.0,,,,0,0,10,0,0,32,25,0,0,200,0,0,75,0,1300,88,0,123.9,117.03999999999999,0.9446327683615818,996.0,899.745,0.9033584337349397
7A06812             ,低合金    ,HRB400B    ,1672.0,0.00059,0.0011,0.00025,0.00025,0.003,74000.0,0.0023,0.0138,0.00027,0.00029,0.0036,0.474,0.0025,0.006,0.013,,0.034,0.0041,0.0019,0.0036,0.0,,,,0,0,10,0,0,32,50,0,0,200,0,0,90,0,1370,88,0,139.49,126.53999999999999,0.9071618037135277,1042.48,939.8,0.9015041055943519
7A06811             ,低合金    ,HRB400B    ,1657.0,0.00052,0.0009,0.00023,0.00018,0.003,75650.0,0.0024,0.0134,0.00028,0.00023,0.0039,0.475,0.0021,0.005,0.012,,0.033,0.0047,0.0025,0.0029,0.0,,,,0,0,10,0,0,33,50,0,0,200,0,0,93,0,1340,88,0,141.86,142.22199999999998,1.0025518116452838,1022.56,945.625,0.9247623611328432
7A06810             ,低合金    ,HRB400B    ,1687.0,0.00119,0.0014,0.00026,0.00021,0.003,68300.0,0.0023,0.0132,0.00024,0.00025,0.0035,0.462,0.002,0.006,0.01,,0.033,0.0052,0.0029,0.0028,0.0,,,,0,0,10,0,0,30,0,0,0,200,0,0,40,0,1300,88,20,94.81384616,75.81299999999999,0.799598403297175,996.0,805.9399999999999,0.8091767068273091
7A06809             ,低合金    ,HRB400B    ,1664.0,0.00104,0.0014,0.00022,0.00021,0.003,72800.0,0.0022,0.0132,0.00025,0.00026,0.0035,0.453,0.0022,0.006,0.012,,0.035,0.0047,0.0025,0.003,0.0,,,,0,0,10,0,0,30,0,0,0,200,0,0,51,0,1270,88,20,104.86384616,84.44800000000002,0.8053109159390385,976.0800000000002,859.04,0.8800917957544462
7A06808             ,低合金    ,HRB400B    ,1669.0,0.00069,0.0014,0.00024,0.00026,0.003,72000.0,0.0023,0.0134,0.00027,0.0003,0.0034,0.467,0.0024,0.006,0.012,,0.036,0.0038,0.0016,0.0031,0.0,,,,0,0,10,0,0,31,25,0,0,200,0,0,80,0,1260,88,0,128.02,115.91999999999999,0.9054835182002811,969.44,864.0,0.8912361775870605
7A06807             ,低合金    ,HRB400B    ,1669.0,0.00071,0.0013,0.00033,0.00027,0.003,72150.0,0.0022,0.0133,0.00027,0.0003,0.0034,0.455,0.0025,0.007,0.011,,0.034,0.0046,0.0023,0.0028,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,80,0,1300,88,0,128.70000000000002,107.5035,0.8353030303030302,996.0,865.8000000000001,0.869277108433735
7A06806             ,低合金    ,HRB400B    ,0.0,0.00074,0.0009,0.00027,0.00013,0.003,71750.0,0.0023,0.0137,0.00027,0.00021,0.0036,0.471,0.0021,0.005,0.01,,0.034,0.0044,0.0022,0.0024,0.0,,,,0,0,10,0,0,30,25,0,0,200,0,0,80,0,1280,88,0,128.36,111.92999999999999,0.8720006232471174,982.72,918.4000000000001,0.9345490068381636
