转炉终点C,转炉终点P,钢水净重,连铸正样Mn,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样V_val,连铸正样Mo_val,连铸正样Ti_val,低铝硅铁,钒氮合金(进口),钒铁(FeV50-B).1,硅铝钙,硅铝合金FeAl30Si25,硅锰面（硅锰渣）,碳化硅(55%),加入C含量,C收得率,加入Mn含量,Mn收得率
0.00063,0.00036,71500.0,0.013,0.0037,0.459,0.002,0.035,0.0022,0.002,0,4,39,50,0,200,132,135.74,0.8796596434359805,942.8800000000001,0.9023947904293227
0.0006,0.00023,73400.0,0.0136,0.0038,0.47,0.0023,0.032,0.0037,0.0,0,4,40,50,0,200,132,137.61,0.9067654966935542,1015.9200000000001,0.9247972281281989
0.00051,0.00014,68100.0,0.0128,0.0036,0.466,0.0017,0.033,0.0034,0.0,0,4,41,50,0,200,132,147.21,0.8743223965763193,1015.9200000000001,0.8110973304984644
0.00065,0.0003,74850.0,0.013,0.0035,0.455,0.0028,0.032,0.0131,0.0,0,4,40,25,0,200,132,137.27,0.8451773876302179,1002.6400000000001,0.8883697039814887
0.0007,0.00035,74550.0,0.0134,0.0037,0.466,0.0021,0.032,0.0032,0.0,0,4,41,25,0,200,132,131.06,0.9101175034335418,1022.56,0.9040251916757942
0.0,0.0,71000.0,0.0128,0.0037,0.455,0.0017,0.033,0.003,0.0,0,4,39,25,0,0,132,130.04,1.2557674561673333,982.72,0.9247802018886356
0.00075,0.00035,63500.0,0.0133,0.0037,0.455,0.0024,0.031,0.0034,0.0,0,4,40,25,0,200,132,130.38,0.7062049394078846,996.0,0.7714357429718876
0.0006,0.00018,73350.0,0.0129,0.0037,0.457,0.0021,0.032,0.0026,0.0,0,4,40,25,0,200,132,156.3,0.7977927063339731,996.0,0.8837349397590362
0.00059,0.00014,74800.0,0.013,0.0037,0.458,0.002,0.031,0.003,0.0,0,4,40,50,0,200,132,65.1,1.9647926267281108,996.0,0.9012048192771085
0.00053,0.00013,75800.0,0.0131,0.0037,0.46,0.0018,0.032,0.0029,0.0,0,4,40,50,0,200,132,141.9,0.9454968287526426,996.0,0.9284738955823294
0.00046,0.00013,73500.0,0.013,0.0037,0.448,0.0017,0.032,0.0038,0.0,0,4,40,50,0,200,132,151.5,0.8441584158415842,996.0,0.900301204819277
0.0004,0.00016,77200.0,0.0129,0.0036,0.457,0.002,0.032,0.0035,0.0,0,5,41,50,0,200,132,151.5,0.9681848184818482,996.0,0.9378714859437751
0.00034,0.00022,71900.0,0.0129,0.0037,0.457,0.0019,0.032,0.0031,0.0,0,4,39,50,0,200,132,153.42,0.9185503845652458,996.0,0.8734839357429719
0.0004,0.00037,72200.0,0.013,0.0035,0.458,0.0018,0.032,0.0027,0.0,0,4,39,50,0,200,132,154.38,0.888586604482446,996.0,0.8626305220883533
0.00077,0.00015,72050.0,0.0129,0.0037,0.467,0.0019,0.032,0.0031,0.0,0,4,39,25,0,0,88,116.5,1.0080815450643776,969.44,0.8769908400726192
0.00073,0.00024,75100.0,0.013,0.0038,0.459,0.002,0.033,0.0028,0.0,0,5,40,25,0,0,88,117.231,1.005766392848308,997.9920000000001,0.8879630297637655
0.00063,0.00025,74350.0,0.0139,0.004,0.484,0.0022,0.032,0.0025,0.0,0,32,0,0,50,0,132,132.199,0.9954651699332066,1059.7440000000001,0.8839965123652505
0.001,0.0002,74250.0,0.0134,0.0039,0.475,0.0019,0.032,0.0025,0.0,0,31,0,0,25,0,132,98.4115,1.0562789917844966,1018.576,0.8747506322552269
0.00086,0.00029,75800.0,0.0128,0.0035,0.455,0.002,0.032,0.0027,0.0,0,5,40,0,0,0,88,122.33984616,0.8922031817601559,1021.2320000000001,0.8313096338540116
0.00091,0.0003,78800.0,0.0128,0.0035,0.465,0.0019,0.032,0.0022,0.0,0,5,42,0,0,0,132,119.37284616000001,0.9835737672085674,1027.208,0.8898684589683881
0.00083,0.00026,68150.0,0.0129,0.0037,0.467,0.0021,0.032,0.0026,0.0,0,4,36,0,0,0,132,115.98984616,0.9224557454141896,895.072,0.8908277769833042
0.00065,0.00017,75300.0,0.0137,0.0042,0.471,0.0022,0.033,0.0033,0.0,0,31,0,0,50,0,132,147.54999999999998,0.842053541172484,1021.8960000000001,0.94318795650438
0.00074,0.00024,74300.0,0.0136,0.004,0.46,0.0025,0.032,0.003,0.0,0,31,0,25,0,0,88,116.67000000000002,0.9297848632896203,976.08,0.9438980411441684
0.00099,0.0002,76150.0,0.013,0.0035,0.469,0.0023,0.032,0.0025,0.0,0,5,41,0,0,0,88,105.90084616,1.013887082996278,1016.5840000000001,0.8914019894076632
0.00033,0.00017,73500.0,0.0132,0.0033,0.473,0.0021,0.034,0.0035,0.0,0,5,40,25,0,0,88,117.435,1.2955677608890022,1005.96,0.9060002385780747
0.00039,0.00025,75200.0,0.0135,0.0035,0.467,0.002,0.033,0.0031,0.0,0,5,40,50,0,0,88,135.2,1.0623668639053256,1062.4,0.8918674698795179
0.00033,0.0003,75950.0,0.0134,0.0037,0.456,0.0023,0.033,0.0032,0.0,0,5,41,50,0,0,88,150.483,0.9438042835403334,1021.8960000000001,0.9290328957154153
0.00022,0.0003,70050.0,0.0129,0.0036,0.447,0.002,0.033,0.0028,0.0,0,30,0,50,0,0,88,148.817,0.9320104557947009,956.8240000000001,0.8931736662123859
0.00051,0.00033,75600.0,0.0132,0.0038,0.463,0.0021,0.034,0.0029,0.0,0,6,40,50,0,0,132,190.305,0.711090092220383,2061.7200000000003,0.44735463593504443
0.00047,0.00022,73900.0,0.013,0.0038,0.46,0.0023,0.034,0.003,0.0,0,5,40,50,0,0,132,141.05,0.9587876639489542,962.8000000000001,0.9210635646032406
0.0004,0.00029,73800.0,0.0128,0.0037,0.456,0.0021,0.035,0.0028,0.0,0,5,40,50,0,0,132,132.3,1.0598639455782313,996.0,0.8595180722891567
0.00056,0.00023,66300.0,0.0145,0.0039,0.486,0.0027,0.036,0.0033,0.0,0,5,40,50,0,0,132,119.93,0.9619111148169764,962.8000000000001,0.9158599916909016
0.00041,0.0003,72800.0,0.0129,0.0036,0.458,0.0024,0.032,0.0026,0.0,0,5,40,50,0,0,132,139.13,0.9889455904549701,962.8000000000001,0.8997922725384295
0.001,0.00014,70000.0,0.013,0.0036,0.46,0.0025,0.033,0.0032,0.0,0,5,40,0,0,0,132,107.16384616,0.8491669836498149,962.8000000000001,0.857914416285833
0.00045,0.00028,71200.0,0.013,0.0037,0.46,0.0024,0.033,0.0027,0.0,0,5,40,50,0,0,132,139.64,0.9432827270123175,982.72,0.8694236405079778
0.0005,0.00033,66600.0,0.0128,0.0036,0.467,0.0027,0.032,0.0031,0.0,0,5,40,50,0,0,132,139.13,0.9095090922159131,962.8000000000001,0.8162442874948068
0.00085,0.00023,74200.0,0.0134,0.0038,0.467,0.0028,0.032,0.0027,0.0,0,5,40,25,0,0,132,115.25,0.9335357917570498,1042.48,0.8754700329982349
0.00062,0.00022,73100.0,0.0132,0.0037,0.454,0.0024,0.033,0.0032,0.0,0,5,40,50,0,0,132,148.06,0.7800756450087803,1049.1200000000001,0.8570325606222357
0.00071,0.00016,73900.0,0.0135,0.0039,0.479,0.0027,0.033,0.0033,0.0,0,5,40,25,0,0,132,131.74,0.9480112342492787,1049.1200000000001,0.8734558487113008
0.00065,0.00029,72650.0,0.0132,0.0038,0.464,0.0026,0.033,0.0033,0.0,0,4,40,25,0,0,132,131.06,0.9146383335876698,1022.5600000000001,0.8596708261617899
0.00078,0.00031,64700.0,0.013,0.0038,0.471,0.0034,0.032,0.0017,0.0,0,4,40,25,0,0,132,129.7,0.8081264456437934,969.44,0.7942007757055619
0.00097,0.00014,74600.0,0.0125,0.0037,0.461,0.0023,0.033,0.0025,0.0,0,5,39,25,0,0,132,114.4,0.9324999999999998,1009.2800000000001,0.8056634432466708
0.0,0.0,72600.0,0.0132,0.0038,0.462,0.002,0.031,0.0031,0.0,0,5,39,50,0,0,0,91.46000000000001,1.8257161600699756,1022.5600000000001,0.9371772805507745
0.00058,0.00023,71500.0,0.0129,0.0036,0.457,0.0021,0.033,0.003,0.0,0,4,37,50,0,0,132,145.34,0.8461538461538461,942.88,0.8948116409299168
0.00047,0.00026,79850.0,0.013,0.0033,0.47,0.0027,0.032,0.0028,0.0,0,30,0,0,50,0,132,163.547,0.9423009899295004,1009.2800000000001,0.9414780833861761
0.00082,0.00031,67450.0,0.0131,0.0037,0.452,0.0027,0.031,0.0029,0.0,0,7,28,25,0,0,132,112.53,0.8271660890429219,936.24,0.850113218832778
0.00066,0.00027,75150.0,0.0132,0.0038,0.463,0.0027,0.03,0.0032,0.0,0,9,30,50,0,0,132,130.72,0.9428243574051407,1009.2800000000001,0.8935082435003171
0.00071,0.00018,76000.0,0.0137,0.0039,0.482,0.0029,0.03,0.003,0.0,0,9,30,25,0,0,132,131.74,0.9749506603916803,1049.1200000000001,0.9344974836053072
0.00074,0.0002,73750.0,0.0132,0.0038,0.465,0.0033,0.029,0.0033,0.0,0,9,28,25,0,0,132,129.87,0.8858858858858858,976.08,0.9142437095320055
0.00073,0.00016,71300.0,0.0133,0.0037,0.466,0.0023,0.034,0.0037,0.0,0,4,38,50,0,0,132,130.04,0.860819747769917,982.72,0.9286877238684466
0.00068,0.00029,74450.0,0.013,0.0037,0.462,0.0031,0.033,0.0035,0.0,0,4,39,50,0,0,132,129.36,0.932351576994434,956.1600000000001,0.9343624497991967
0.00072,0.00027,70500.0,0.0128,0.0037,0.468,0.003,0.032,0.0036,0.0,0,4,38,50,0,0,132,129.53,0.9143827684706243,962.8000000000001,0.856719983381803
0.00068,0.00028,71550.0,0.0129,0.0036,0.46,0.0033,0.033,0.0034,0.0,0,4,38,50,0,0,132,129.02,0.8983955975817701,942.88,0.9106142881384695
0.0007,0.0002,72150.0,0.0129,0.0036,0.471,0.003,0.032,0.0042,0.0,0,4,38,25,0,0,132,129.02,0.9506665633235154,942.88,0.9105983794332259
